akshay	11:40 1/0/2022	123
Tom	12:48 1/0/2022	135
Lana	12:48 1/0/2022	160
TomH	12:48 1/0/2022	117
Mike	12:48 1/0/2022	145
Jim	12:48 1/0/2022	113
TomH	12:48 1/0/2022	149
Tom	12:48 1/0/2022	116
akshay	12:48 1/0/2022	137
amar	12:48 1/0/2022	120
Mike	15:53 1/0/2022	132
Jim	15:53 1/0/2022	136
TomH	15:53 1/0/2022	132
amar	15:53 1/0/2022	111
rest	15:53 1/0/2022	155
Jim	15:54 1/0/2022	104
Tom	15:54 1/0/2022	201
TomH	15:54 1/0/2022	150
akshay	15:54 1/0/2022	116
amar	15:54 1/0/2022	110
Mike	16:38 1/0/2022	112
Tom	16:38 1/0/2022	115
Lana	16:38 1/0/2022	116
Lana	16:38 1/0/2022	172
TomH	16:38 1/0/2022	170
rest	16:38 1/0/2022	142
Mike	15:0 1/6/2022	135
Jim	15:34 1/6/2022	84
Lana	15:34 1/6/2022	134
TomH	15:34 1/6/2022	159
Jim	15:34 2/1/2022	134
Jim	15:34 2/1/2022	162
Jim	16:24 2/1/2022	185
Jim	16:36 2/1/2022	118
Jim	18:27 2/1/2022	22
Lana	18:27 2/1/2022	24
Mike	19:37 2/1/2022	183
TomH	19:37 2/1/2022	141
Jim	23:26 2/1/2022	164
Lana	23:26 2/1/2022	101
Mike	1:50 2/2/2022	117
Tom	1:50 2/2/2022	173
akshay	12:42 2/2/2022	130
TomH	12:42 2/2/2022	158
amar	12:45 2/2/2022	172
Lana	12:45 2/2/2022	156
akshay	12:54 2/2/2022	128
akshay	12:59 2/2/2022	100
rest	13:2 2/2/2022	113
Yash	14:46 2/2/2022	194
akshay	14:46 2/2/2022	114
rest	15:0 2/2/2022	145
rest	15:1 2/2/2022	155
Tom	15:3 2/2/2022	137
TomH	15:8 2/2/2022	132
TomH	15:8 2/2/2022	138
akshay	15:13 2/2/2022	158
akshay	15:14 2/2/2022	116
akshay	15:16 2/2/2022	135
akshay	15:17 2/2/2022	137
akshay	15:20 2/2/2022	140
akshay	15:20 2/2/2022	111
akshay	15:21 2/2/2022	127
akshay	15:22 2/2/2022	118
akshay	15:28 2/2/2022	119
akshay	15:29 2/2/2022	177
TomH	15:31 2/2/2022	122
yash	15:31 2/2/2022	130
TomH	15:32 2/2/2022	155
yash	15:32 2/2/2022	131
